token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
62816,NIFTY24MAR2626050CE,NIFTY,24MAR2026,2605000.000000,65,OPTIDX,NFO,5.000000
62862,NIFTY24MAR2626600CE,NIFTY,24MAR2026,2660000.000000,65,OPTIDX,NFO,5.000000
62914,NIFTY30MAR2619000CE,NIFTY,30MAR2026,1900000.000000,65,OPTIDX,NFO,5.000000
62918,NIFTY30MAR2621000CE,NIFTY,30MAR2026,2100000.000000,65,OPTIDX,NFO,5.000000
62923,NIFTY30MAR2623000PE,NIFTY,30MAR2026,2300000.000000,65,OPTIDX,NFO,5.000000
62928,NIFTY30MAR2626000CE,NIFTY,30MAR2026,2600000.000000,65,OPTIDX,NFO,5.000000
62941,NIFTY24MAR2627200PE,NIFTY,24MAR2026,2720000.000000,65,OPTIDX,NFO,5.000000
67782,NIFTY26DEC2824000CE,NIFTY,26DEC2028,2400000.000000,65,OPTIDX,NFO,5.000000
67790,NIFTY26DEC2828000CE,NIFTY,26DEC2028,2800000.000000,65,OPTIDX,NFO,5.000000
71472,NIFTY30JUN2624000CE,NIFTY,30JUN2026,2400000.000000,65,OPTIDX,NFO,5.000000
71474,NIFTY30JUN2625000CE,NIFTY,30JUN2026,2500000.000000,65,OPTIDX,NFO,5.000000
71504,NIFTY29DEC2625000PE,NIFTY,29DEC2026,2500000.000000,65,OPTIDX,NFO,5.000000
71553,NIFTY29JUN2721000CE,NIFTY,29JUN2027,2100000.000000,65,OPTIDX,NFO,5.000000
72176,NIFTY26MAY2623900PE,NIFTY,26MAY2026,2390000.000000,65,OPTIDX,NFO,5.000000
72219,NIFTY28APR2623250PE,NIFTY,28APR2026,2325000.000000,65,OPTIDX,NFO,5.000000
72265,NIFTY28APR2624050CE,NIFTY,28APR2026,2405000.000000,65,OPTIDX,NFO,5.000000
72272,NIFTY28APR2624200PE,NIFTY,28APR2026,2420000.000000,65,OPTIDX,NFO,5.000000
72268,NIFTY28APR2624100PE,NIFTY,28APR2026,2410000.000000,65,OPTIDX,NFO,5.000000
72271,NIFTY28APR2624200CE,NIFTY,28APR2026,2420000.000000,65,OPTIDX,NFO,5.000000
72279,NIFTY28APR2624300CE,NIFTY,28APR2026,2430000.000000,65,OPTIDX,NFO,5.000000
72285,NIFTY26MAY2624650PE,NIFTY,26MAY2026,2465000.000000,65,OPTIDX,NFO,5.000000
72288,NIFTY26MAY2624750CE,NIFTY,26MAY2026,2475000.000000,65,OPTIDX,NFO,5.000000
72293,NIFTY26MAY2624850PE,NIFTY,26MAY2026,2485000.000000,65,OPTIDX,NFO,5.000000
72298,NIFTY26MAY2625000CE,NIFTY,26MAY2026,2500000.000000,65,OPTIDX,NFO,5.000000
72300,NIFTY26MAY2625050CE,NIFTY,26MAY2026,2505000.000000,65,OPTIDX,NFO,5.000000
72305,NIFTY26MAY2625150PE,NIFTY,26MAY2026,2515000.000000,65,OPTIDX,NFO,5.000000
72308,NIFTY26MAY2625250CE,NIFTY,26MAY2026,2525000.000000,65,OPTIDX,NFO,5.000000
72331,NIFTY28APR2624650CE,NIFTY,28APR2026,2465000.000000,65,OPTIDX,NFO,5.000000
72338,NIFTY28APR2624800PE,NIFTY,28APR2026,2480000.000000,65,OPTIDX,NFO,5.000000
72345,NIFTY26MAY2625550CE,NIFTY,26MAY2026,2555000.000000,65,OPTIDX,NFO,5.000000
72350,NIFTY28APR2625050CE,NIFTY,28APR2026,2505000.000000,65,OPTIDX,NFO,5.000000
72369,NIFTY28APR2625350CE,NIFTY,28APR2026,2535000.000000,65,OPTIDX,NFO,5.000000
72372,NIFTY26MAY2625750PE,NIFTY,26MAY2026,2575000.000000,65,OPTIDX,NFO,5.000000
72382,NIFTY26MAY2626000PE,NIFTY,26MAY2026,2600000.000000,65,OPTIDX,NFO,5.000000
72383,NIFTY28APR2625400CE,NIFTY,28APR2026,2540000.000000,65,OPTIDX,NFO,5.000000
72392,NIFTY26MAY2626200CE,NIFTY,26MAY2026,2620000.000000,65,OPTIDX,NFO,5.000000
72422,NIFTY28APR2625600CE,NIFTY,28APR2026,2560000.000000,65,OPTIDX,NFO,5.000000
72423,NIFTY28APR2625600PE,NIFTY,28APR2026,2560000.000000,65,OPTIDX,NFO,5.000000
72429,NIFTY28APR2625750CE,NIFTY,28APR2026,2575000.000000,65,OPTIDX,NFO,5.000000
72438,NIFTY28APR2625900PE,NIFTY,28APR2026,2590000.000000,65,OPTIDX,NFO,5.000000
72452,NIFTY26MAY2626300CE,NIFTY,26MAY2026,2630000.000000,65,OPTIDX,NFO,5.000000
72456,NIFTY28APR2626000PE,NIFTY,28APR2026,2600000.000000,65,OPTIDX,NFO,5.000000
72487,NIFTY28APR2626300CE,NIFTY,28APR2026,2630000.000000,65,OPTIDX,NFO,5.000000
72502,NIFTY28APR2626550PE,NIFTY,28APR2026,2655000.000000,65,OPTIDX,NFO,5.000000
72664,NIFTY28APR2626600PE,NIFTY,28APR2026,2660000.000000,65,OPTIDX,NFO,5.000000
72718,NIFTY28APR2626800PE,NIFTY,28APR2026,2680000.000000,65,OPTIDX,NFO,5.000000
72754,NIFTY28APR2627450CE,NIFTY,28APR2026,2745000.000000,65,OPTIDX,NFO,5.000000
72729,NIFTY28APR2627100CE,NIFTY,28APR2026,2710000.000000,65,OPTIDX,NFO,5.000000
72748,NIFTY28APR2627350PE,NIFTY,28APR2026,2735000.000000,65,OPTIDX,NFO,5.000000
72750,NIFTY28APR2627400CE,NIFTY,28APR2026,2740000.000000,65,OPTIDX,NFO,5.000000
86146,NIFTY27JUN2821000PE,NIFTY,27JUN2028,2100000.000000,65,OPTIDX,NFO,5.000000
89642,NIFTY26JUN2930000CE,NIFTY,26JUN2029,3000000.000000,65,OPTIDX,NFO,5.000000
35231,NIFTY30JUN2630000PE,NIFTY,30JUN2026,3000000.000000,65,OPTIDX,NFO,5.000000
35262,NIFTY29JUN2730000CE,NIFTY,29JUN2027,3000000.000000,65,OPTIDX,NFO,5.000000
37799,NIFTY30JUN2623000CE,NIFTY,30JUN2026,2300000.000000,65,OPTIDX,NFO,5.000000
45455,NIFTY10MAR2623750PE,NIFTY,10MAR2026,2375000.000000,65,OPTIDX,NFO,5.000000
45478,NIFTY10MAR2624100PE,NIFTY,10MAR2026,2410000.000000,65,OPTIDX,NFO,5.000000
45489,NIFTY10MAR2624300PE,NIFTY,10MAR2026,2430000.000000,65,OPTIDX,NFO,5.000000
45518,NIFTY10MAR2624700PE,NIFTY,10MAR2026,2470000.000000,65,OPTIDX,NFO,5.000000
45543,NIFTY10MAR2625100CE,NIFTY,10MAR2026,2510000.000000,65,OPTIDX,NFO,5.000000
45552,NIFTY10MAR2625150PE,NIFTY,10MAR2026,2515000.000000,65,OPTIDX,NFO,5.000000
45514,NIFTY10MAR2624600PE,NIFTY,10MAR2026,2460000.000000,65,OPTIDX,NFO,5.000000
45570,NIFTY10MAR2625500PE,NIFTY,10MAR2026,2550000.000000,65,OPTIDX,NFO,5.000000
45584,NIFTY10MAR2625650PE,NIFTY,10MAR2026,2565000.000000,65,OPTIDX,NFO,5.000000
45619,NIFTY10MAR2625800PE,NIFTY,10MAR2026,2580000.000000,65,OPTIDX,NFO,5.000000
45644,NIFTY10MAR2626150PE,NIFTY,10MAR2026,2615000.000000,65,OPTIDX,NFO,5.000000
45662,NIFTY10MAR2626350PE,NIFTY,10MAR2026,2635000.000000,65,OPTIDX,NFO,5.000000
45674,NIFTY10MAR2626450PE,NIFTY,10MAR2026,2645000.000000,65,OPTIDX,NFO,5.000000
45677,NIFTY10MAR2626550CE,NIFTY,10MAR2026,2655000.000000,65,OPTIDX,NFO,5.000000
45694,NIFTY10MAR2626700PE,NIFTY,10MAR2026,2670000.000000,65,OPTIDX,NFO,5.000000
45754,NIFTY10MAR2627650PE,NIFTY,10MAR2026,2765000.000000,65,OPTIDX,NFO,5.000000
45695,NIFTY10MAR2626750CE,NIFTY,10MAR2026,2675000.000000,65,OPTIDX,NFO,5.000000
45715,NIFTY10MAR2627050CE,NIFTY,10MAR2026,2705000.000000,65,OPTIDX,NFO,5.000000
45741,NIFTY10MAR2627500CE,NIFTY,10MAR2026,2750000.000000,65,OPTIDX,NFO,5.000000
47191,NIFTY29DEC2633000PE,NIFTY,29DEC2026,3300000.000000,65,OPTIDX,NFO,5.000000
47198,NIFTY26DEC2833000CE,NIFTY,26DEC2028,3300000.000000,65,OPTIDX,NFO,5.000000
50557,NIFTY30JUN2618000PE,NIFTY,30JUN2026,1800000.000000,65,OPTIDX,NFO,5.000000
50973,NIFTY30JUN2627000CE,NIFTY,30JUN2026,2700000.000000,65,OPTIDX,NFO,5.000000
51453,NIFTY30JUN2621000CE,NIFTY,30JUN2026,2100000.000000,65,OPTIDX,NFO,5.000000
35263,NIFTY29JUN2730000PE,NIFTY,29JUN2027,3000000.000000,65,OPTIDX,NFO,5.000000
37802,NIFTY30JUN2613000PE,NIFTY,30JUN2026,1300000.000000,65,OPTIDX,NFO,5.000000
38154,NIFTY30JUN2629000CE,NIFTY,30JUN2026,2900000.000000,65,OPTIDX,NFO,5.000000
39989,NIFTY30JUN2619000CE,NIFTY,30JUN2026,1900000.000000,65,OPTIDX,NFO,5.000000
42133,NIFTY30JUN2631000CE,NIFTY,30JUN2026,3100000.000000,65,OPTIDX,NFO,5.000000
45452,NIFTY10MAR2623750CE,NIFTY,10MAR2026,2375000.000000,65,OPTIDX,NFO,5.000000
45456,NIFTY10MAR2623800CE,NIFTY,10MAR2026,2380000.000000,65,OPTIDX,NFO,5.000000
45468,NIFTY10MAR2623950CE,NIFTY,10MAR2026,2395000.000000,65,OPTIDX,NFO,5.000000
45473,NIFTY10MAR2624000CE,NIFTY,10MAR2026,2400000.000000,65,OPTIDX,NFO,5.000000
45474,NIFTY10MAR2624000PE,NIFTY,10MAR2026,2400000.000000,65,OPTIDX,NFO,5.000000
45476,NIFTY10MAR2624050PE,NIFTY,10MAR2026,2405000.000000,65,OPTIDX,NFO,5.000000
45498,NIFTY10MAR2624450PE,NIFTY,10MAR2026,2445000.000000,65,OPTIDX,NFO,5.000000
45516,NIFTY10MAR2624650PE,NIFTY,10MAR2026,2465000.000000,65,OPTIDX,NFO,5.000000
45540,NIFTY10MAR2625000PE,NIFTY,10MAR2026,2500000.000000,65,OPTIDX,NFO,5.000000
45542,NIFTY10MAR2625050PE,NIFTY,10MAR2026,2505000.000000,65,OPTIDX,NFO,5.000000
45561,NIFTY10MAR2625350CE,NIFTY,10MAR2026,2535000.000000,65,OPTIDX,NFO,5.000000
45565,NIFTY10MAR2625450CE,NIFTY,10MAR2026,2545000.000000,65,OPTIDX,NFO,5.000000
45566,NIFTY10MAR2625450PE,NIFTY,10MAR2026,2545000.000000,65,OPTIDX,NFO,5.000000
45596,NIFTY10MAR2625700PE,NIFTY,10MAR2026,2570000.000000,65,OPTIDX,NFO,5.000000
45663,NIFTY10MAR2626400CE,NIFTY,10MAR2026,2640000.000000,65,OPTIDX,NFO,5.000000
45664,NIFTY10MAR2626400PE,NIFTY,10MAR2026,2640000.000000,65,OPTIDX,NFO,5.000000
45665,NIFTY10MAR2626450CE,NIFTY,10MAR2026,2645000.000000,65,OPTIDX,NFO,5.000000
45707,NIFTY10MAR2626950CE,NIFTY,10MAR2026,2695000.000000,65,OPTIDX,NFO,5.000000
45712,NIFTY10MAR2626950PE,NIFTY,10MAR2026,2695000.000000,65,OPTIDX,NFO,5.000000
45720,NIFTY10MAR2627100PE,NIFTY,10MAR2026,2710000.000000,65,OPTIDX,NFO,5.000000
45726,NIFTY10MAR2627200PE,NIFTY,10MAR2026,2720000.000000,65,OPTIDX,NFO,5.000000
45747,NIFTY10MAR2627550PE,NIFTY,10MAR2026,2755000.000000,65,OPTIDX,NFO,5.000000
45755,NIFTY10MAR2627700CE,NIFTY,10MAR2026,2770000.000000,65,OPTIDX,NFO,5.000000
45761,NIFTY10MAR2627700PE,NIFTY,10MAR2026,2770000.000000,65,OPTIDX,NFO,5.000000
35237,NIFTY29DEC2630000PE,NIFTY,29DEC2026,3000000.000000,65,OPTIDX,NFO,5.000000
35347,NIFTY28DEC2730000PE,NIFTY,28DEC2027,3000000.000000,65,OPTIDX,NFO,5.000000
38158,NIFTY29DEC2629000CE,NIFTY,29DEC2026,2900000.000000,65,OPTIDX,NFO,5.000000
38380,NIFTY30JUN2620000PE,NIFTY,30JUN2026,2000000.000000,65,OPTIDX,NFO,5.000000
45444,NIFTY10MAR2623650CE,NIFTY,10MAR2026,2365000.000000,65,OPTIDX,NFO,5.000000
45450,NIFTY10MAR2623700PE,NIFTY,10MAR2026,2370000.000000,65,OPTIDX,NFO,5.000000
45461,NIFTY10MAR2623900CE,NIFTY,10MAR2026,2390000.000000,65,OPTIDX,NFO,5.000000
45477,NIFTY10MAR2624100CE,NIFTY,10MAR2026,2410000.000000,65,OPTIDX,NFO,5.000000
45488,NIFTY10MAR2624300CE,NIFTY,10MAR2026,2430000.000000,65,OPTIDX,NFO,5.000000
45527,NIFTY10MAR2624850CE,NIFTY,10MAR2026,2485000.000000,65,OPTIDX,NFO,5.000000
45508,NIFTY10MAR2624500PE,NIFTY,10MAR2026,2450000.000000,65,OPTIDX,NFO,5.000000
45509,NIFTY10MAR2624550CE,NIFTY,10MAR2026,2455000.000000,65,OPTIDX,NFO,5.000000
